segment,token,symbol,tradingsymbol,instrument_type,expiry,ticksize,lotsize,optiontype,strike,priceprec,multiplier,isin,pricemult,company
NSE,7929,ZYDUSLIFE,ZYDUSLIFE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE010B01027,1.0,ZYDUS LIFESCIENCES LTD
NSE,11915,YESBANK,YESBANK-EQ,EQ,1011980,1,1,EQ,0,2,1,INE528G01035,1.0,YES BANK LIMITED
NSE,3787,WIPRO,WIPRO-EQ,EQ,1011980,1,1,EQ,0,2,1,INE075A01022,1.0,WIPRO LTD
NSE,25907,WAAREEENER,WAAREEENER-EQ,EQ,1011980,10,1,EQ,0,2,1,INE377N01017,1.0,WAAREE ENERGIES LIMITED
NSE,3718,VOLTAS,VOLTAS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE226A01021,1.0,VOLTAS LTD
NSE,750460,VOGL,VOGL-BE,BE,1011980,1,1,BE,0,2,1,INE704J01044,1.0,VEDANTA OIL AND GAS LTD
NSE,27969,VMM,VMM-EQ,EQ,1011980,1,1,EQ,0,2,1,INE01EA01019,1.0,VISHAL MEGA MART LIMITED
NSE,750324,VISL,VISL-BE,BE,1011980,1,1,BE,0,2,1,INE1CLE01013,1.0,VEDANTA IRON AND STEEL L
NSE,750550,VEDPOWER,VEDPOWER-BE,BE,1011980,1,1,BE,0,2,1,INE694L01019,1.0,VEDANTA POWER LIMITED
NSE,3063,VEDL,VEDL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE205A01025,1.0,VEDANTA LIMITED
NSE,18921,VBL,VBL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE200M01039,1.0,VARUN BEVERAGES LIMITED
NSE,750191,VAML,VAML-BE,BE,1011980,1,1,BE,0,2,1,INE1CDF01017,1.0,VEDANTA ALUMINIUM METAL L
NSE,11287,UPL,UPL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE628A01036,1.0,UPL LIMITED
NSE,10447,UNITDSPR,UNITDSPR-EQ,EQ,1011980,10,1,EQ,0,2,1,INE854D01024,1.0,UNITED SPIRITS LIMITED
NSE,10753,UNIONBANK,UNIONBANK-EQ,EQ,1011980,1,1,EQ,0,2,1,INE692A01016,1.0,UNION BANK OF INDIA
NSE,11532,ULTRACEMCO,ULTRACEMCO-EQ,EQ,1011980,100,1,EQ,0,2,1,INE481G01011,1.0,ULTRATECH CEMENT LIMITED
NSE,8479,TVSMOTOR,TVSMOTOR-EQ,EQ,1011980,10,1,EQ,0,2,1,INE494B01023,1.0,TVS MOTOR COMPANY  LTD
NSE,1964,TRENT,TRENT-EQ,EQ,1011980,10,1,EQ,0,2,1,INE849A01020,1.0,TRENT LTD
NSE,3518,TORNTPHARM,TORNTPHARM-EQ,EQ,1011980,10,1,EQ,0,2,1,INE685A01028,1.0,TORRENT PHARMACEUTICALS L
NSE,3456,TMPV,TMPV-EQ,EQ,1011980,5,1,EQ,0,2,1,INE155A01022,1.0,TATA MOTORS PASS VEH LTD
NSE,759782,TMCV,TMCV-EQ,EQ,1011980,5,1,EQ,0,2,1,INE1TAE01010,1.0,TATA MOTORS LIMITED
NSE,3506,TITAN,TITAN-EQ,EQ,1011980,10,1,EQ,0,2,1,INE280A01028,1.0,TITAN COMPANY LIMITED
NSE,312,TIINDIA,TIINDIA-EQ,EQ,1011980,10,1,EQ,0,2,1,INE974X01010,1.0,TUBE INVEST OF INDIA LTD
NSE,13538,TECHM,TECHM-EQ,EQ,1011980,10,1,EQ,0,2,1,INE669C01036,1.0,TECH MAHINDRA LIMITED
NSE,11536,TCS,TCS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE467B01029,1.0,TATA CONSULTANCY SERV LT
NSE,3499,TATASTEEL,TATASTEEL-EQ,EQ,1011980,1,1,EQ,0,2,1,INE081A01020,1.0,TATA STEEL LIMITED
NSE,3426,TATAPOWER,TATAPOWER-EQ,EQ,1011980,5,1,EQ,0,2,1,INE245A01021,1.0,TATA POWER CO LTD
NSE,1621,TATAINVEST,TATAINVEST-EQ,EQ,1011980,5,1,EQ,0,2,1,INE672A01026,1.0,TATA INVESTMENT CORP LTD
NSE,3411,TATAELXSI,TATAELXSI-EQ,EQ,1011980,10,1,EQ,0,2,1,INE670A01012,1.0,TATA ELXSI LIMITED
NSE,3432,TATACONSUM,TATACONSUM-EQ,EQ,1011980,10,1,EQ,0,2,1,INE192A01025,1.0,TATA CONSUMER PRODUCT LTD
NSE,3721,TATACOMM,TATACOMM-EQ,EQ,1011980,10,1,EQ,0,2,1,INE151A01013,1.0,TATA COMMUNICATIONS LTD
NSE,759265,TATACAP,TATACAP-EQ,EQ,1011980,5,1,EQ,0,2,1,INE976I01016,1.0,TATA CAPITAL LIMITED
NSE,27066,SWIGGY,SWIGGY-EQ,EQ,1011980,5,1,EQ,0,2,1,INE00H001014,1.0,SWIGGY LIMITED
NSE,12018,SUZLON,SUZLON-EQ,EQ,1011980,1,1,EQ,0,2,1,INE040H01021,1.0,SUZLON ENERGY LIMITED
NSE,3363,SUPREMEIND,SUPREMEIND-EQ,EQ,1011980,10,1,EQ,0,2,1,INE195A01028,1.0,SUPREME INDUSTRIES LTD
NSE,3351,SUNPHARMA,SUNPHARMA-EQ,EQ,1011980,10,1,EQ,0,2,1,INE044A01036,1.0,SUN PHARMACEUTICAL IND L
NSE,3273,SRF,SRF-EQ,EQ,1011980,10,1,EQ,0,2,1,INE647A01010,1.0,SRF LTD
NSE,13332,SOLARINDS,SOLARINDS-EQ,EQ,1011980,100,1,EQ,0,2,1,INE343H01029,1.0,SOLAR INDUSTRIES (I) LTD
NSE,3150,SIEMENS,SIEMENS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE003A01024,1.0,SIEMENS LTD
NSE,4306,SHRIRAMFIN,SHRIRAMFIN-EQ,EQ,1011980,5,1,EQ,0,2,1,INE721A01047,1.0,SHRIRAM FINANCE LIMITED
NSE,3103,SHREECEM,SHREECEM-EQ,EQ,1011980,500,1,EQ,0,2,1,INE070A01015,1.0,SHREE CEMENT LIMITED
NSE,3045,SBIN,SBIN-EQ,EQ,1011980,5,1,EQ,0,2,1,INE062A01020,1.0,STATE BANK OF INDIA
NSE,21808,SBILIFE,SBILIFE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE123W01016,1.0,SBI LIFE INSURANCE CO LTD
NSE,17971,SBICARD,SBICARD-EQ,EQ,1011980,5,1,EQ,0,2,1,INE018E01016,1.0,SBI CARDS & PAY SER LTD
NSE,2963,SAIL,SAIL-EQ,EQ,1011980,1,1,EQ,0,2,1,INE114A01011,1.0,STEEL AUTHORITY OF INDIA
NSE,9552,RVNL,RVNL-EQ,EQ,1011980,1,1,EQ,0,2,1,INE415G01027,1.0,RAIL VIKAS NIGAM LIMITED
NSE,2885,RELIANCE,RELIANCE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE002A01018,1.0,RELIANCE INDUSTRIES LTD
NSE,15355,RECLTD,RECLTD-EQ,EQ,1011980,5,1,EQ,0,2,1,INE020B01018,1.0,REC LIMITED
NSE,10990,RADICO,RADICO-EQ,EQ,1011980,10,1,EQ,0,2,1,INE944F01028,1.0,RADICO KHAITAN LTD
NSE,20302,PRESTIGE,PRESTIGE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE811K01011,1.0,PRESTIGE ESTATE LTD
NSE,25049,PREMIERENE,PREMIERENE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE0BS701011,1.0,PREMIER ENERGIES LIMITED
NSE,18457,POWERINDIA,POWERINDIA-EQ,EQ,1011980,500,1,EQ,0,2,1,INE07Y701011,1.0,HITACHI ENERGY INDIA LTD
NSE,14977,POWERGRID,POWERGRID-EQ,EQ,1011980,5,1,EQ,0,2,1,INE752E01010,1.0,POWER GRID CORP. LTD.
NSE,9590,POLYCAB,POLYCAB-EQ,EQ,1011980,50,1,EQ,0,2,1,INE455K01017,1.0,POLYCAB INDIA LIMITED
NSE,6656,POLICYBZR,POLICYBZR-EQ,EQ,1011980,10,1,EQ,0,2,1,INE417T01026,1.0,PB FINTECH LIMITED
NSE,10666,PNB,PNB-EQ,EQ,1011980,1,1,EQ,0,2,1,INE160A01022,1.0,PUNJAB NATIONAL BANK
NSE,24184,PIIND,PIIND-EQ,EQ,1011980,10,1,EQ,0,2,1,INE603J01030,1.0,PI INDUSTRIES LTD
NSE,2664,PIDILITIND,PIDILITIND-EQ,EQ,1011980,10,1,EQ,0,2,1,INE318A01026,1.0,PIDILITE INDUSTRIES LTD
NSE,14552,PHOENIXLTD,PHOENIXLTD-EQ,EQ,1011980,10,1,EQ,0,2,1,INE211B01039,1.0,THE PHOENIX MILLS LTD
NSE,14299,PFC,PFC-EQ,EQ,1011980,5,1,EQ,0,2,1,INE134E01011,1.0,POWER FIN CORP LTD.
NSE,18365,PERSISTENT,PERSISTENT-EQ,EQ,1011980,50,1,EQ,0,2,1,INE262H01021,1.0,PERSISTENT SYSTEMS LTD
NSE,6705,PAYTM,PAYTM-EQ,EQ,1011980,10,1,EQ,0,2,1,INE982J01020,1.0,ONE 97 COMMUNICATIONS LTD
NSE,17029,PATANJALI,PATANJALI-EQ,EQ,1011980,5,1,EQ,0,2,1,INE619A01035,1.0,PATANJALI FOODS LIMITED
NSE,14413,PAGEIND,PAGEIND-EQ,EQ,1011980,500,1,EQ,0,2,1,INE761H01022,1.0,PAGE INDUSTRIES LTD
NSE,2475,ONGC,ONGC-EQ,EQ,1011980,5,1,EQ,0,2,1,INE213A01029,1.0,OIL AND NATURAL GAS CORP.
NSE,17438,OIL,OIL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE274J01014,1.0,OIL INDIA LTD
NSE,10738,OFSS,OFSS-EQ,EQ,1011980,50,1,EQ,0,2,1,INE881D01027,1.0,ORACLE FIN SERV SOFT LTD.
NSE,20242,OBEROIRLTY,OBEROIRLTY-EQ,EQ,1011980,10,1,EQ,0,2,1,INE093I01010,1.0,OBEROI REALTY LIMITED
NSE,6545,NYKAA,NYKAA-EQ,EQ,1011980,5,1,EQ,0,2,1,INE388Y01029,1.0,FSN E COMMERCE VENTURES
NSE,11630,NTPC,NTPC-EQ,EQ,1011980,5,1,EQ,0,2,1,INE733E01010,1.0,NTPC LTD
NSE,15332,NMDC,NMDC-EQ,EQ,1011980,1,1,EQ,0,2,1,INE584A01023,1.0,NMDC LTD.
NSE,17400,NHPC,NHPC-EQ,EQ,1011980,1,1,EQ,0,2,1,INE848E01016,1.0,NHPC LTD
NSE,17963,NESTLEIND,NESTLEIND-EQ,EQ,1011980,10,1,EQ,0,2,1,INE239A01024,1.0,NESTLE INDIA LIMITED
NSE,13751,NAUKRI,NAUKRI-EQ,EQ,1011980,5,1,EQ,0,2,1,INE663F01032,1.0,INFO EDGE (I) LTD
NSE,6364,NATIONALUM,NATIONALUM-EQ,EQ,1011980,5,1,EQ,0,2,1,INE139A01034,1.0,NATIONAL ALUMINIUM CO LTD
NSE,23650,MUTHOOTFIN,MUTHOOTFIN-EQ,EQ,1011980,10,1,EQ,0,2,1,INE414G01012,1.0,MUTHOOT FINANCE LIMITED
NSE,2277,MRF,MRF-EQ,EQ,1011980,500,1,EQ,0,2,1,INE883A01011,1.0,MRF LTD
NSE,4503,MPHASIS,MPHASIS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE356A01018,1.0,MPHASIS LIMITED
NSE,14947,MOTILALOFS,MOTILALOFS-EQ,EQ,1011980,5,1,EQ,0,2,1,INE338I01027,1.0,MOTILAL OSWAL FIN LTD
NSE,4204,MOTHERSON,MOTHERSON-EQ,EQ,1011980,1,1,EQ,0,2,1,INE775A01035,1.0,SAMVRDHNA MTHRSN INTL LTD
NSE,25510,MOTHERSON,MOTHERSON-D1,D1,1011980,5,1,D1,0,2,1,INE775A08105,1.0,SAMVARDHANA MOTHERSON INT
NSE,2142,MFSL,MFSL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE180A01020,1.0,MAX FINANCIAL SERV LTD
NSE,31181,MCX,MCX-EQ,EQ,1011980,10,1,EQ,0,2,1,INE745G01043,1.0,MULTI COMMODITY EXCHANGE
NSE,509,MAZDOCK,MAZDOCK-EQ,EQ,1011980,10,1,EQ,0,2,1,INE249Z01020,1.0,MAZAGON DOCK SHIPBUIL LTD
NSE,22377,MAXHEALTH,MAXHEALTH-EQ,EQ,1011980,5,1,EQ,0,2,1,INE027H01010,1.0,MAX HEALTHCARE INS LTD
NSE,10999,MARUTI,MARUTI-EQ,EQ,1011980,100,1,EQ,0,2,1,INE585B01010,1.0,MARUTI SUZUKI INDIA LTD.
NSE,4067,MARICO,MARICO-EQ,EQ,1011980,5,1,EQ,0,2,1,INE196A01026,1.0,MARICO LIMITED
NSE,15380,MANKIND,MANKIND-EQ,EQ,1011980,10,1,EQ,0,2,1,INE634S01028,1.0,MANKIND PHARMA LIMITED
NSE,13285,M&MFIN,M&MFIN-EQ,EQ,1011980,5,1,EQ,0,2,1,INE774D01024,1.0,M&M FIN. SERVICES LTD
NSE,2031,M&M,M&M-EQ,EQ,1011980,10,1,EQ,0,2,1,INE101A01026,1.0,MAHINDRA & MAHINDRA LTD
NSE,10440,LUPIN,LUPIN-EQ,EQ,1011980,10,1,EQ,0,2,1,INE326A01037,1.0,LUPIN LIMITED
NSE,17818,LTM,LTM-EQ,EQ,1011980,10,1,EQ,0,2,1,INE214T01019,1.0,LTM LIMITED
NSE,24948,LTF,LTF-EQ,EQ,1011980,5,1,EQ,0,2,1,INE498L01015,1.0,L&T FINANCE LIMITED
NSE,11483,LT,LT-EQ,EQ,1011980,10,1,EQ,0,2,1,INE018A01030,1.0,LARSEN & TOUBRO LTD.
NSE,3220,LODHA,LODHA-EQ,EQ,1011980,5,1,EQ,0,2,1,INE670K01029,1.0,LODHA DEVELOPERS LIMITED
NSE,1997,LICHSGFIN,LICHSGFIN-EQ,EQ,1011980,5,1,EQ,0,2,1,INE115A01026,1.0,LIC HOUSING FINANCE LTD
NSE,760213,LGEINDIA,LGEINDIA-EQ,EQ,1011980,10,1,EQ,0,2,1,INE324D01010,1.0,LG ELECTRONICS INDIA LTD
NSE,759605,LENSKART,LENSKART-EQ,EQ,1011980,5,1,EQ,0,2,1,INE956O01016,1.0,LENSKART SOLUTIONS LTD
NSE,19234,LAURUSLABS,LAURUSLABS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE947Q01028,1.0,LAURUS LABS LIMITED
NSE,9683,KPITTECH,KPITTECH-EQ,EQ,1011980,5,1,EQ,0,2,1,INE04I401011,1.0,KPIT TECHNOLOGIES LIMITED
NSE,1922,KOTAKBANK,KOTAKBANK-EQ,EQ,1011980,5,1,EQ,0,2,1,INE237A01036,1.0,KOTAK MAHINDRA BANK LTD
NSE,13310,KEI,KEI-EQ,EQ,1011980,50,1,EQ,0,2,1,INE878B01027,1.0,KEI INDUSTRIES LTD.
