segment,token,symbol,tradingsymbol,instrument_type,expiry,ticksize,lotsize,optiontype,strike,priceprec,multiplier,isin,pricemult,company
NSE,2955,KALYANKJIL,KALYANKJIL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE303R01014,1.0,KALYAN JEWELLERS IND LTD
NSE,18096,JUBLFOOD,JUBLFOOD-EQ,EQ,1011980,5,1,EQ,0,2,1,INE797F01020,1.0,JUBILANT FOODWORKS LTD
NSE,11723,JSWSTEEL,JSWSTEEL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE019A01038,1.0,JSW STEEL LIMITED
NSE,17869,JSWENERGY,JSWENERGY-EQ,EQ,1011980,5,1,EQ,0,2,1,INE121E01018,1.0,JSW ENERGY LIMITED
NSE,18143,JIOFIN,JIOFIN-EQ,EQ,1011980,1,1,EQ,0,2,1,INE758E01017,1.0,JIO FIN SERVICES LTD
NSE,6733,JINDALSTEL,JINDALSTEL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE749A01030,1.0,JINDAL STEEL LIMITED
NSE,1660,ITC,ITC-EQ,EQ,1011980,5,1,EQ,0,2,1,INE154A01025,1.0,ITC LTD
NSE,2029,IRFC,IRFC-EQ,EQ,1011980,1,1,EQ,0,2,1,INE053F01010,1.0,INDIAN RAILWAY FIN CORP L
NSE,20261,IREDA,IREDA-EQ,EQ,1011980,1,1,EQ,0,2,1,INE202E01016,1.0,INDIAN RENEWABLE ENERGY
NSE,13611,IRCTC,IRCTC-EQ,EQ,1011980,5,1,EQ,0,2,1,INE335Y01020,1.0,INDIAN RAIL TOUR CORP LTD
NSE,1624,IOC,IOC-EQ,EQ,1011980,1,1,EQ,0,2,1,INE242A01010,1.0,INDIAN OIL CORP LTD
NSE,1594,INFY,INFY-EQ,EQ,1011980,10,1,EQ,0,2,1,INE009A01021,1.0,INFOSYS LIMITED
NSE,29135,INDUSTOWER,INDUSTOWER-EQ,EQ,1011980,5,1,EQ,0,2,1,INE121J01017,1.0,INDUS TOWERS LIMITED
NSE,5258,INDUSINDBK,INDUSINDBK-EQ,EQ,1011980,5,1,EQ,0,2,1,INE095A01012,1.0,INDUSIND BANK LIMITED
NSE,11195,INDIGO,INDIGO-EQ,EQ,1011980,10,1,EQ,0,2,1,INE646L01027,1.0,INTERGLOBE AVIATION LTD
NSE,14309,INDIANB,INDIANB-EQ,EQ,1011980,5,1,EQ,0,2,1,INE562A01011,1.0,INDIAN BANK
NSE,1512,INDHOTEL,INDHOTEL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE053A01029,1.0,THE INDIAN HOTELS CO. LTD
NSE,11184,IDFCFIRSTB,IDFCFIRSTB-EQ,EQ,1011980,1,1,EQ,0,2,1,INE092T01019,1.0,IDFC FIRST BANK LIMITED
NSE,14366,IDEA,IDEA-EQ,EQ,1011980,1,1,EQ,0,2,1,INE669E01016,1.0,VODAFONE IDEA LIMITED
NSE,21770,ICICIGI,ICICIGI-EQ,EQ,1011980,10,1,EQ,0,2,1,INE765G01017,1.0,ICICI LOMBARD GIC LIMITED
NSE,4963,ICICIBANK,ICICIBANK-EQ,EQ,1011980,10,1,EQ,0,2,1,INE090A01021,1.0,ICICI BANK LTD.
NSE,760407,ICICIAMC,ICICIAMC-EQ,EQ,1011980,10,1,EQ,0,2,1,INE346A01027,1.0,ICICI PRUDENTIAL AMC LTD
NSE,25844,HYUNDAI,HYUNDAI-EQ,EQ,1011980,10,1,EQ,0,2,1,INE0V6F01027,1.0,HYUNDAI MOTOR INDIA LTD
NSE,20825,HUDCO,HUDCO-EQ,EQ,1011980,1,1,EQ,0,2,1,INE031A01017,1.0,HSG & URBAN DEV CORPN LTD
NSE,1424,HINDZINC,HINDZINC-EQ,EQ,1011980,5,1,EQ,0,2,1,INE267A01025,1.0,HINDUSTAN ZINC LIMITED
NSE,1394,HINDUNILVR,HINDUNILVR-EQ,EQ,1011980,10,1,EQ,0,2,1,INE030A01027,1.0,HINDUSTAN UNILEVER LTD.
NSE,1406,HINDPETRO,HINDPETRO-EQ,EQ,1011980,5,1,EQ,0,2,1,INE094A01015,1.0,HINDUSTAN PETROLEUM CORP
NSE,1363,HINDALCO,HINDALCO-EQ,EQ,1011980,10,1,EQ,0,2,1,INE038A01020,1.0,HINDALCO  INDUSTRIES  LTD
NSE,1348,HEROMOTOCO,HEROMOTOCO-EQ,EQ,1011980,10,1,EQ,0,2,1,INE158A01026,1.0,HERO MOTOCORP LIMITED
NSE,467,HDFCLIFE,HDFCLIFE-EQ,EQ,1011980,5,1,EQ,0,2,1,INE795G01014,1.0,HDFC LIFE INS CO LTD
NSE,1333,HDFCBANK,HDFCBANK-EQ,EQ,1011980,5,1,EQ,0,2,1,INE040A01034,1.0,HDFC BANK LTD
NSE,4244,HDFCAMC,HDFCAMC-EQ,EQ,1011980,10,1,EQ,0,2,1,INE127D01025,1.0,HDFC AMC LIMITED
NSE,7229,HCLTECH,HCLTECH-EQ,EQ,1011980,10,1,EQ,0,2,1,INE860A01027,1.0,HCL TECHNOLOGIES LTD
NSE,9819,HAVELLS,HAVELLS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE176B01034,1.0,HAVELLS INDIA LIMITED
NSE,2303,HAL,HAL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE066F01020,1.0,HINDUSTAN AERONAUTICS LTD
NSE,16783,GVT&D,GVT&D-EQ,EQ,1011980,50,1,EQ,0,2,1,INE200A01026,1.0,GE VERNOVA T&D INDIA LTD
NSE,759806,GROWW,GROWW-EQ,EQ,1011980,1,1,EQ,0,2,1,INE0HOQ01053,1.0,BILLIONBRAINS GARAGE VN L
NSE,1232,GRASIM,GRASIM-EQ,EQ,1011980,10,1,EQ,0,2,1,INE047A01021,1.0,GRASIM INDUSTRIES LTD
NSE,17875,GODREJPROP,GODREJPROP-EQ,EQ,1011980,10,1,EQ,0,2,1,INE484J01027,1.0,GODREJ PROPERTIES LTD
NSE,10099,GODREJCP,GODREJCP-EQ,EQ,1011980,10,1,EQ,0,2,1,INE102D01028,1.0,GODREJ CONSUMER PRODUCTS
NSE,1181,GODFRYPHLP,GODFRYPHLP-EQ,EQ,1011980,10,1,EQ,0,2,1,INE260B01028,1.0,GODFREY PHILLIPS INDIA LT
NSE,13528,GMRAIRPORT,GMRAIRPORT-EQ,EQ,1011980,1,1,EQ,0,2,1,INE776C01039,1.0,GMR AIRPORTS LIMITED
NSE,7406,GLENMARK,GLENMARK-EQ,EQ,1011980,10,1,EQ,0,2,1,INE935A01035,1.0,GLENMARK PHARMACEUTICALS
NSE,4717,GAIL,GAIL-EQ,EQ,1011980,1,1,EQ,0,2,1,INE129A01019,1.0,GAIL (INDIA) LTD
NSE,14592,FORTIS,FORTIS-EQ,EQ,1011980,5,1,EQ,0,2,1,INE061F01013,1.0,FORTIS HEALTHCARE LTD
NSE,1023,FEDERALBNK,FEDERALBNK-EQ,EQ,1011980,5,1,EQ,0,2,1,INE171A01029,1.0,FEDERAL BANK LTD
NSE,676,EXIDEIND,EXIDEIND-EQ,EQ,1011980,5,1,EQ,0,2,1,INE302A01020,1.0,EXIDE INDUSTRIES LTD
NSE,5097,ETERNAL,ETERNAL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE758T01015,1.0,ETERNAL LIMITED
NSE,756871,ENRIN,ENRIN-EQ,EQ,1011980,10,1,EQ,0,2,1,INE1NPP01017,1.0,SIEMENS ENERGY INDIA LTD
NSE,910,EICHERMOT,EICHERMOT-EQ,EQ,1011980,50,1,EQ,0,2,1,INE066A01021,1.0,EICHER MOTORS LTD
NSE,881,DRREDDY,DRREDDY-EQ,EQ,1011980,10,1,EQ,0,2,1,INE089A01031,1.0,DR. REDDY S LABORATORIES
NSE,19913,DMART,DMART-EQ,EQ,1011980,10,1,EQ,0,2,1,INE192R01011,1.0,AVENUE SUPERMARTS LIMITED
NSE,14732,DLF,DLF-EQ,EQ,1011980,5,1,EQ,0,2,1,INE271C01023,1.0,DLF LIMITED
NSE,21690,DIXON,DIXON-EQ,EQ,1011980,100,1,EQ,0,2,1,INE935N01020,1.0,DIXON TECHNO (INDIA) LTD
NSE,10940,DIVISLAB,DIVISLAB-EQ,EQ,1011980,50,1,EQ,0,2,1,INE361B01024,1.0,DIVI S LABORATORIES LTD
NSE,772,DABUR,DABUR-EQ,EQ,1011980,5,1,EQ,0,2,1,INE016A01026,1.0,DABUR INDIA LTD
NSE,1901,CUMMINSIND,CUMMINSIND-EQ,EQ,1011980,50,1,EQ,0,2,1,INE298A01020,1.0,CUMMINS INDIA LTD
NSE,739,COROMANDEL,COROMANDEL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE169A01031,1.0,COROMANDEL INTERNTL. LTD
NSE,4749,CONCOR,CONCOR-EQ,EQ,1011980,5,1,EQ,0,2,1,INE111A01025,1.0,CONTAINER CORP OF IND LTD
NSE,15141,COLPAL,COLPAL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE259A01022,1.0,COLGATE PALMOLIVE LTD.
NSE,11543,COFORGE,COFORGE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE591G01025,1.0,COFORGE LIMITED
NSE,21508,COCHINSHIP,COCHINSHIP-EQ,EQ,1011980,10,1,EQ,0,2,1,INE704P01025,1.0,COCHIN SHIPYARD LIMITED
NSE,20374,COALINDIA,COALINDIA-EQ,EQ,1011980,5,1,EQ,0,2,1,INE522F01014,1.0,COAL INDIA LTD
NSE,694,CIPLA,CIPLA-EQ,EQ,1011980,10,1,EQ,0,2,1,INE059A01026,1.0,CIPLA LTD
NSE,685,CHOLAFIN,CHOLAFIN-EQ,EQ,1011980,10,1,EQ,0,2,1,INE121A01024,1.0,CHOLAMANDALAM IN & FIN CO
NSE,19257,CHOLAFIN,CHOLAFIN-D1,D1,1011980,5,1,D1,0,2,1,INE121A08PJ0,1.0,CHOLAMANDALAM IN & FIN CO
NSE,760,CGPOWER,CGPOWER-EQ,EQ,1011980,5,1,EQ,0,2,1,INE067A01029,1.0,CG POWER AND IND SOL LTD
NSE,10794,CANBK,CANBK-EQ,EQ,1011980,1,1,EQ,0,2,1,INE476A01022,1.0,CANARA BANK
NSE,19585,BSE,BSE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE118H01025,1.0,BSE LIMITED
NSE,547,BRITANNIA,BRITANNIA-EQ,EQ,1011980,50,1,EQ,0,2,1,INE216A01030,1.0,BRITANNIA INDUSTRIES LTD
NSE,526,BPCL,BPCL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE029A01011,1.0,BHARAT PETROLEUM CORP  LT
NSE,2181,BOSCHLTD,BOSCHLTD-EQ,EQ,1011980,500,1,EQ,0,2,1,INE323A01026,1.0,BOSCH LIMITED
NSE,8311,BLUESTARCO,BLUESTARCO-EQ,EQ,1011980,10,1,EQ,0,2,1,INE472A01039,1.0,BLUE STAR LIMITED
NSE,11373,BIOCON,BIOCON-EQ,EQ,1011980,5,1,EQ,0,2,1,INE376G01013,1.0,BIOCON LIMITED.
NSE,438,BHEL,BHEL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE257A01026,1.0,BHEL
NSE,10604,BHARTIARTL,BHARTIARTL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE397D01024,1.0,BHARTI AIRTEL LIMITED
NSE,422,BHARATFORG,BHARATFORG-EQ,EQ,1011980,10,1,EQ,0,2,1,INE465A01025,1.0,BHARAT FORGE LTD
NSE,383,BEL,BEL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE263A01024,1.0,BHARAT ELECTRONICS LTD
NSE,2144,BDL,BDL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE171Z01026,1.0,BHARAT DYNAMICS LIMITED
NSE,4745,BANKINDIA,BANKINDIA-EQ,EQ,1011980,1,1,EQ,0,2,1,INE084A01016,1.0,BANK OF INDIA
NSE,4668,BANKBARODA,BANKBARODA-EQ,EQ,1011980,5,1,EQ,0,2,1,INE028A01039,1.0,BANK OF BARODA
NSE,317,BAJFINANCE,BAJFINANCE-EQ,EQ,1011980,5,1,EQ,0,2,1,INE296A01032,1.0,BAJAJ FINANCE LIMITED
NSE,305,BAJAJHLDNG,BAJAJHLDNG-EQ,EQ,1011980,100,1,EQ,0,2,1,INE118A01012,1.0,BAJAJ HOLDINGS & INVS LTD
NSE,16675,BAJAJFINSV,BAJAJFINSV-EQ,EQ,1011980,10,1,EQ,0,2,1,INE918I01026,1.0,BAJAJ FINSERV LTD.
NSE,16669,BAJAJ-AUTO,BAJAJ-AUTO-EQ,EQ,1011980,100,1,EQ,0,2,1,INE917I01010,1.0,BAJAJ AUTO LIMITED
NSE,5900,AXISBANK,AXISBANK-EQ,EQ,1011980,10,1,EQ,0,2,1,INE238A01034,1.0,AXIS BANK LIMITED
NSE,275,AUROPHARMA,AUROPHARMA-EQ,EQ,1011980,10,1,EQ,0,2,1,INE406A01037,1.0,AUROBINDO PHARMA LTD
NSE,21238,AUBANK,AUBANK-EQ,EQ,1011980,5,1,EQ,0,2,1,INE949L01017,1.0,AU SMALL FINANCE BANK LTD
NSE,6066,ATGL,ATGL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE399L01023,1.0,ADANI TOTAL GAS LIMITED
NSE,14418,ASTRAL,ASTRAL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE006I01046,1.0,ASTRAL LIMITED
NSE,236,ASIANPAINT,ASIANPAINT-EQ,EQ,1011980,10,1,EQ,0,2,1,INE021A01026,1.0,ASIAN PAINTS LIMITED
NSE,212,ASHOKLEY,ASHOKLEY-EQ,EQ,1011980,1,1,EQ,0,2,1,INE208A01029,1.0,ASHOK LEYLAND LTD
NSE,157,APOLLOHOSP,APOLLOHOSP-EQ,EQ,1011980,50,1,EQ,0,2,1,INE437A01024,1.0,APOLLO HOSPITALS ENTER. L
NSE,25780,APLAPOLLO,APLAPOLLO-EQ,EQ,1011980,10,1,EQ,0,2,1,INE702C01027,1.0,APL APOLLO TUBES LTD
NSE,1270,AMBUJACEM,AMBUJACEM-EQ,EQ,1011980,5,1,EQ,0,2,1,INE079A01024,1.0,AMBUJA CEMENTS LTD
NSE,11703,ALKEM,ALKEM-EQ,EQ,1011980,50,1,EQ,0,2,1,INE540L01014,1.0,ALKEM LABORATORIES LTD.
NSE,17388,ADANIPOWER,ADANIPOWER-EQ,EQ,1011980,1,1,EQ,0,2,1,INE814H01029,1.0,ADANI POWER LTD
NSE,15083,ADANIPORTS,ADANIPORTS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE742F01042,1.0,ADANI PORT & SEZ LTD
NSE,3563,ADANIGREEN,ADANIGREEN-EQ,EQ,1011980,10,1,EQ,0,2,1,INE364U01010,1.0,ADANI GREEN ENERGY LTD
NSE,25,ADANIENT,ADANIENT-EQ,EQ,1011980,10,1,EQ,0,2,1,INE423A01024,1.0,ADANI ENTERPRISES LIMITED
NSE,10217,ADANIENSOL,ADANIENSOL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE931S01010,1.0,ADANI ENERGY SOLUTION LTD
NSE,21614,ABCAPITAL,ABCAPITAL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE674K01013,1.0,ADITYA BIRLA CAPITAL LTD.
NSE,13,ABB,ABB-EQ,EQ,1011980,50,1,EQ,0,2,1,INE117A01022,1.0,ABB INDIA LIMITED
NSE,13061,360ONE,360ONE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE466L01038,1.0,360 ONE WAM LIMITED
